Player,Team,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50,100,200
Virat Kohli,India,IPL,192,184,30,5878,113,38.17,4496,130.74,503,201,39,5,0
Rohit Sharma,India,IPL,200,195,28,5230,109,31.32,4004,130.62,458,213,39,1,0
Shikhar Dhawan,India,IPL,176,175,23,5196,106,34.18,4096,126.86,591,108,41,2,0
Shubman Gill,India,IPL,41,38,10,939,76,33.54,750,125.2,87,24,7,0,0
Shreyas Iyer,India,IPL,79,79,9,2200,96,31.43,1745,126.07,189,83,16,0,0
Manish Pandey,India,IPL,146,135,25,3268,114,29.71,2686,121.67,287,93,18,1,0
Mayank Agarwal,India,IPL,88,83,3,1694,106,21.18,1259,134.55,162,67,7,1,0
Prithvi Shaw,India,IPL,38,38,0,826,99,21.74,591,139.76,99,27,6,0,0
Cheteshwar Pujara,India,IPL,30,22,3,390,51,20.53,391,99.74,50,4,1,0,0
Ajinkya Rahane,India,IPL,149,140,16,3933,105,31.72,3240,121.39,416,76,28,2,0
Hardik Pandya,India,IPL,80,74,29,1349,91,29.98,847,159.27,86,93,4,0,0
Hanuma Vihari,India,IPL,24,23,3,284,46,14.2,321,88.47,23,1,0,0,0
Ravindra Jadeja,India,IPL,184,139,54,2159,50,25.4,1706,126.55,157,76,1,0,0
Ravichandran Ashwin,India,IPL,154,58,20,412,45,10.84,373,110.46,35,11,0,0,0
KL Rahul,India,IPL,81,72,13,2647,132,44.86,1949,135.81,234,104,21,2,0
Sanju Samson,India,IPL,107,103,10,2584,102,27.78,1932,133.75,191,115,13,2,0
Wriddhiman Saha,India,IPL,124,99,22,1979,115,25.7,1499,132.02,184,64,8,1,0
Rishabh Pant,India,IPL,68,68,9,2079,128,35.24,1368,151.97,183,103,12,1,0
Mohammed Shami,India,IPL,63,19,9,56,21,5.6,56,100,5,2,0,0,0
Jasprit Bumrah,India,IPL,92,13,10,40,16,13.33,41,97.56,2,1,0,0,0
Kuldeep Yadav,India,IPL,45,11,5,57,16,9.5,75,76,5,0,0,0,0
Yuzvendra Chahal,India,IPL,99,16,10,22,4,3.67,51,43.14,0,0,0,0,0
Navdeep Saini,India,IPL,26,5,3,29,12,14.5,31,93.55,3,0,0,0,0
Shardul Thakur,India,IPL,45,10,4,48,15,8,42,114.29,5,1,0,0,0
Umesh Yadav,India,IPL,121,38,24,122,24,8.71,128,95.31,11,4,0,0,0
Mohammed Siraj,India,IPL,35,11,7,46,14,11.5,50,92,4,1,0,0,0
William Porterfield,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
James McCollum,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Balbirnie,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Kane,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O Brien,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Stirling,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Thompson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Wilson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorcan Tucker,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Chase,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
George Dockrell,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Murtagh,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Adair,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy McBrine,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry McCarthy,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyd Rankin,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Fakhar Zaman,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Imam-ul-Haq,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Sohail,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,Pakistan,IPL,8,8,1,64,16,9.14,83,77.11,7,2,0,0,0
Shoaib Malik,Pakistan,IPL,7,5,1,52,24,13,47,110.64,5,0,0,0,0
Shadab Khan,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Imad Wasim,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Ahmed,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Wahab Riaz,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasan Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hasnain,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Amir,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Finch,Australia,IPL,87,85,6,2005,88,25.38,1570,127.71,204,75,14,0,0
Steven Smith,Australia,IPL,95,86,20,2333,101,35.35,1805,129.25,212,58,11,1,0
David Warner,Australia,IPL,142,142,19,5254,126,42.72,3712,141.54,511,194,48,4,0
Joe Burns,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Pucovski,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,IPL,82,79,11,1505,95,22.13,973,154.68,118,91,6,0,0
Marcus Stoinis,Australia,IPL,46,42,13,825,65,28.45,601,137.27,65,34,4,0,0
Moises Henriques,Australia,IPL,57,50,16,969,74,28.5,756,128.17,87,27,5,0,0
Marnus Labuschagne,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Head,Australia,IPL,10,10,3,205,75,29.29,148,138.51,12,8,1,0,0
Michael Neser,Australia,IPL,1,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Agar,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Green,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sams,Australia,IPL,3,1,0,0,0,0,2,0,0,0,0,0,0
Alex Carey,Australia,IPL,3,3,1,32,14,16,29,110.34,0,1,0,0,0
Matthew Wade,Australia,IPL,3,3,0,22,11,7.33,33,66.67,0,0,0,0,0
Tim Paine,Australia,IPL,2,2,0,10,8,5,26,38.46,0,0,0,0,0
Pat Cummins,Australia,IPL,30,21,8,223,53,17.15,169,131.95,14,12,1,0,0
Nathan Lyon,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Starc,Australia,IPL,27,12,5,96,29,13.71,98,97.96,10,0,0,0,0
Adam Zampa,Australia,IPL,14,2,0,5,5,2.5,8,62.5,1,0,0,0,0
Sean Abbott,Australia,IPL,2,2,0,15,14,7.5,13,115.38,1,1,0,0,0
Josh Hazlewood,Australia,IPL,3,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Tye,Australia,IPL,27,13,4,91,25,10.11,76,119.74,6,5,0,0,0
James Pattinson,Australia,IPL,10,2,1,15,11,15,13,115.38,2,0,0,0,0
Mitchell Swepson,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimuth Karunaratne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Avishka Fernando,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Mathews,Sri-Lanka,IPL,49,42,11,724,65,23.35,575,125.91,44,29,1,0,0
Dhananjaya de Silva,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Milinda Siriwardana,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Thisara Perera,Sri-Lanka,IPL,37,30,8,422,40,19.18,307,137.46,23,26,0,0,0
Isuru Udana,Sri-Lanka,IPL,10,4,1,15,10,5,11,136.36,1,1,0,0,0
Jeevan Mendis,Sri-Lanka,IPL,3,3,0,23,12,7.67,27,85.19,0,0,0,0,0
Kusal Perera,Sri-Lanka,IPL,2,2,0,14,14,7,13,107.69,3,0,0,0,0
Suranga Lakmal,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasith Malinga,Sri-Lanka,IPL,122,25,9,88,17,5.5,99,88.89,6,5,0,0,0
Jeffrey Vandersay,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuwan Pradeep,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamim Iqbal,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Soumya Sarkar,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabbir Rahman,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmudullah,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,Bangladesh,IPL,63,46,11,746,66,21.31,589,126.66,70,20,2,0,0
Mohammad Saifuddin,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mehidy Hasan,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mushfiqur Rahim,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Liton Das,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Mithun,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,Bangladesh,IPL,1,1,1,2,2,0,2,100,0,0,0,0,0
Rubel Hossain,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustafizur Rahman,Bangladesh,IPL,24,2,1,1,1,1,3,33.33,0,0,0,0,0
Abu Jayed,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Eoin Morgan,England,IPL,66,59,9,1272,68,25.44,1007,126.32,104,58,5,0,0
Joe Root,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Roy,England,IPL,8,8,2,179,91,29.83,134,133.58,18,8,1,0,0
Liam Livingstone,England,IPL,4,4,1,70,44,23.33,48,145.83,6,5,0,0,0
Dawid Malan,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Moeen Ali,England,IPL,19,17,2,309,66,20.6,195,158.46,21,23,3,0,0
Ben Stokes,England,IPL,42,41,6,920,107,26.29,681,135.1,79,32,2,2,0
Chris Woakes,England,IPL,18,11,5,63,18,10.5,66,95.45,5,2,0,0,0
Tom Curran,England,IPL,10,8,4,106,54,26.5,90,117.78,8,3,1,0,0
Lewis Gregory,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Curran,England,IPL,23,19,7,281,55,23.42,196,143.37,25,15,2,0,0
Jonny Bairstow,England,IPL,21,21,2,790,114,41.58,555,142.34,79,31,5,1,0
Jos Buttler,England,IPL,58,57,8,1714,95,34.98,1146,149.56,167,77,11,0,0
Sam Billings,England,IPL,22,19,0,334,56,17.58,250,133.6,31,10,3,0,0
Adil Rashid,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Wood,England,IPL,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Jofra Archer,England,IPL,35,23,10,195,27,15,124,157.26,11,14,0,0,0
Olly Stone,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece Topley,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jordan,England,IPL,20,7,2,32,13,6.4,36,88.89,2,0,0,0,0
Darren Bravo,West-Indies,IPL,1,1,1,6,6,0,5,120,1,0,0,0,0
Chris Gayle,West-Indies,IPL,132,131,15,4772,175,41.14,3179,150.11,384,349,31,6,0
Evin Lewis,West-Indies,IPL,16,16,0,430,65,26.88,328,131.1,36,26,2,0,0
Shimron Hetmyer,West-Indies,IPL,17,16,3,275,75,21.15,198,138.89,15,19,1,0,0
Fabian Allen,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Holder,West-Indies,IPL,18,9,2,104,26,14.86,84,123.81,9,5,0,0,0
Andre Russell,West-Indies,IPL,74,61,10,1517,88,29.75,832,182.33,105,129,8,0,0
Carlos Brathwaite,West-Indies,IPL,16,14,1,181,43,13.92,111,163.06,10,16,0,0,0
Shai Hope,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Pooran,West-Indies,IPL,21,20,4,521,77,32.56,315,165.4,32,39,2,0,0
Sheldon Cottrell,West-Indies,IPL,6,1,0,0,0,0,2,0,0,0,0,0,0
Shannon Gabriel,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemar Roach,West-Indies,IPL,2,1,0,10,10,10,9,111.11,1,0,0,0,0
Ashley Nurse,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Oshane Thomas,West-Indies,IPL,4,0,0,0,0,0,0,0,0,0,0,0,0
Faf du Plessis,South-Africa,IPL,84,77,7,2302,96,32.89,1781,129.25,205,73,16,0,0
David Miller,South-Africa,IPL,80,78,23,1850,101,33.64,1333,138.78,126,87,9,1,0
Aiden Markram,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rassie van der Dussen,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Paul Duminy,South-Africa,IPL,83,77,26,2029,78,39.78,1636,124.02,126,79,14,0,0
Andile Phehlukwayo,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwaine Pretorius,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Morris,South-Africa,IPL,70,44,21,551,82,23.96,349,157.88,39,30,2,0,0
Quinton de Kock,South-Africa,IPL,66,66,4,1959,108,31.6,1467,133.54,201,76,14,1,0
Imran Tahir,South-Africa,IPL,58,9,5,33,13,8.25,37,89.19,5,0,0,0,0
Kagiso Rabada,South-Africa,IPL,35,15,5,125,44,12.5,128,97.66,9,4,0,0,0
Lungi Ngidi,South-Africa,IPL,11,0,0,0,0,0,0,0,0,0,0,0,0
Tabraiz Shamsi,South-Africa,IPL,4,0,0,0,0,0,0,0,0,0,0,0,0
Beuran Hendricks,South-Africa,IPL,7,3,2,1,1,1,3,33.33,0,0,0,0,0
Craig Ervine,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Masakadza,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikandar Raza,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Williams,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Mire,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Chari,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Timycen Maruma,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Elton Chigumbura,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Regis Chakabva,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Taylor,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Moor,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tendai Chatara,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Tiripano,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mpofu,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Jarvis,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Mavuta,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Guptill,New-Zealand,IPL,13,13,1,270,50,22.5,196,137.76,24,15,1,0,0
Ross Taylor,New-Zealand,IPL,55,54,14,1017,81,25.43,822,123.72,66,46,3,0,0
Kane Williamson,New-Zealand,IPL,53,52,11,1619,89,39.49,1201,134.8,136,54,15,0,0
Henry Nicholls,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
James Neesham,New-Zealand,IPL,9,6,1,61,22,12.2,64,95.31,3,2,0,0,0
Colin de Grandhomme,New-Zealand,IPL,25,21,5,303,40,18.94,225,134.67,18,18,0,0,0
Colin Munro,New-Zealand,IPL,13,12,0,177,40,14.75,141,125.53,19,8,0,0,0
Mitchell Santner,New-Zealand,IPL,6,2,1,32,22,32,23,139.13,0,3,0,0,0
Tom Latham,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Blundell,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Boult,New-Zealand,IPL,48,6,3,12,6,4,15,80,0,1,0,0,0
Matt Henry,New-Zealand,IPL,2,0,0,0,0,0,0,0,0,0,0,0,0
Tim Southee,New-Zealand,IPL,40,14,6,115,36,14.38,90,127.78,8,4,0,0,0
Ish Sodhi,New-Zealand,IPL,8,2,0,7,6,3.5,17,41.18,0,0,0,0,0
Lockie Ferguson,New-Zealand,IPL,14,3,3,44,24,0,30,146.67,4,1,0,0,0
Asghar Afghan,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hashmatullah Shahidi,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hazratullah Zazai,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Najibullah Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Noor Ali Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahmat Shah,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Samiullah Shinwari,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulbadin Naib,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Nabi,Afghanistan,IPL,14,11,2,146,31,16.22,99,147.47,13,7,0,0,0
Mohammad Shahzad,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Aftab Alam,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawlat Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamid Hassan,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,Afghanistan,IPL,62,25,9,139,34,8.69,93,149.46,8,11,0,0,0
Mujeeb Ur Rahman,Afghanistan,IPL,18,6,3,11,10,3.67,14,78.57,2,0,0,0,0
Virat Kohli,India,ODI,251,242,39,12040,183,59.31,12912,93.25,1130,125,60,43,0
Rohit Sharma,India,ODI,224,217,32,9115,264,49.27,10250,88.93,817,244,43,29,3
Shikhar Dhawan,India,ODI,139,136,7,5808,143,45.02,6186,93.89,727,69,30,17,0
Shubman Gill,India,ODI,3,3,0,49,33,16.33,71,69.01,5,1,0,0,0
Shreyas Iyer,India,ODI,21,19,1,807,103,44.83,801,100.75,80,17,8,1,0
Manish Pandey,India,ODI,26,21,7,492,104,35.14,535,91.96,41,4,2,1,0
Mayank Agarwal,India,ODI,5,5,0,86,32,17.2,83,103.61,12,1,0,0,0
Prithvi Shaw,India,ODI,3,3,0,84,40,28,82,102.44,12,2,0,0,0
Cheteshwar Pujara,India,ODI,5,5,0,51,27,10.2,130,39.23,4,0,0,0,0
Ajinkya Rahane,India,ODI,90,87,3,2962,111,35.26,3767,78.63,293,33,24,3,0
Hardik Pandya,India,ODI,57,41,7,1167,92,34.32,1011,115.43,84,46,6,0,0
Hanuma Vihari,India,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravindra Jadeja,India,ODI,168,113,39,2411,87,32.58,2769,87.07,178,49,13,0,0
Ravichandran Ashwin,India,ODI,111,61,19,675,65,16.07,776,86.98,59,6,1,0,0
KL Rahul,India,ODI,35,34,5,1332,112,45.93,1515,87.92,103,30,8,4,0
Sanju Samson,India,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Wriddhiman Saha,India,ODI,9,5,2,41,16,13.67,56,73.21,5,0,0,0,0
Rishabh Pant,India,ODI,16,14,0,374,71,26.71,361,103.6,40,10,1,0,0
Mohammed Shami,India,ODI,79,38,17,161,25,7.67,194,82.99,12,7,0,0,0
Jasprit Bumrah,India,ODI,67,17,11,19,10,3.17,49,38.78,2,1,0,0,0
Kuldeep Yadav,India,ODI,61,21,12,118,19,13.11,188,62.77,10,0,0,0,0
Yuzvendra Chahal,India,ODI,54,10,4,53,18,8.83,90,58.89,7,0,0,0,0
Navdeep Saini,India,ODI,7,4,3,92,45,92,100,92,9,3,0,0,0
Shardul Thakur,India,ODI,12,6,2,77,22,19.25,53,145.28,8,3,0,0,0
Umesh Yadav,India,ODI,75,24,14,79,18,7.9,134,58.96,8,1,0,0,0
Mohammed Siraj,India,ODI,1,0,0,0,0,0,0,0,0,0,0,0,0
William Porterfield,Ireland,ODI,138,136,3,4091,139,30.76,5915,69.16,426,30,17,11,0
James McCollum,Ireland,ODI,9,9,0,185,73,20.56,269,68.77,26,1,2,0,0
Andrew Balbirnie,Ireland,ODI,70,68,4,2094,145,32.72,2738,76.48,198,27,10,6,0
Tyrone Kane,Ireland,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O Brien,Ireland,ODI,148,137,18,3615,142,30.38,4061,89.02,332,84,18,2,0
Paul Stirling,Ireland,ODI,120,118,3,4408,177,38.33,5051,87.27,471,99,24,10,0
Stuart Thompson,Ireland,ODI,19,15,1,228,39,16.29,251,90.84,24,3,0,0,0
Gary Wilson,Ireland,ODI,104,99,12,2072,113,23.82,2881,71.92,180,21,12,1,0
Lorcan Tucker,Ireland,ODI,12,11,1,167,56,16.7,238,70.17,15,0,1,0,0
Peter Chase,Ireland,ODI,24,16,6,35,14,3.5,56,62.5,3,1,0,0,0
George Dockrell,Ireland,ODI,87,57,22,579,62,16.54,836,69.26,40,8,2,0,0
Tim Murtagh,Ireland,ODI,58,36,12,188,23,7.83,297,63.3,17,1,0,0,0
Mark Adair,Ireland,ODI,14,11,2,162,32,18,170,95.29,11,7,0,0,0
Andy McBrine,Ireland,ODI,48,30,10,360,79,18,485,74.23,22,7,1,0,0
Barry McCarthy,Ireland,ODI,32,22,5,151,18,8.88,258,58.53,13,1,0,0,0
Boyd Rankin,Ireland,ODI,75,34,21,101,18,7.77,239,42.26,4,1,0,0,0
Fakhar Zaman,Pakistan,ODI,47,47,4,1960,210,45.58,2058,95.24,227,32,13,4,1
Imam-ul-Haq,Pakistan,ODI,40,40,5,1834,151,52.4,2280,80.44,147,15,7,7,0
Babar Azam,Pakistan,ODI,77,75,11,3580,125,55.94,4074,87.87,312,34,16,12,0
Asif Ali,Pakistan,ODI,18,14,1,361,52,27.77,280,128.93,20,21,3,0,0
Haris Sohail,Pakistan,ODI,42,41,5,1685,130,46.81,1976,85.27,135,26,14,2,0
Mohammad Hafeez,Pakistan,ODI,218,216,15,6614,140,32.91,8634,76.6,664,110,38,11,0
Shoaib Malik,Pakistan,ODI,287,258,40,7534,143,34.56,9199,81.9,603,113,44,9,0
Shadab Khan,Pakistan,ODI,43,22,9,337,54,25.92,491,68.64,20,4,3,0,0
Imad Wasim,Pakistan,ODI,55,40,17,986,63,42.87,894,110.29,91,19,5,0,0
Sarfaraz Ahmed,Pakistan,ODI,116,90,22,2302,105,33.85,2622,87.8,172,12,11,2,0
Wahab Riaz,Pakistan,ODI,91,66,15,740,54,14.51,849,87.16,55,30,3,0,0
Hasan Ali,Pakistan,ODI,53,29,9,280,59,14,247,113.36,18,17,2,0,0
Mohammad Hasnain,Pakistan,ODI,6,3,1,31,28,15.5,21,147.62,4,1,0,0,0
Mohammad Amir,Pakistan,ODI,61,30,10,363,73,18.15,444,81.76,32,8,2,0,0
Aaron Finch,Australia,ODI,132,128,3,5232,153,41.86,5918,88.41,519,126,29,17,0
Steven Smith,Australia,ODI,128,113,12,4378,164,43.35,4947,88.5,377,42,25,11,0
David Warner,Australia,ODI,128,126,5,5455,179,45.08,5710,95.53,571,85,23,18,0
Joe Burns,Australia,ODI,6,6,0,146,69,24.33,184,79.35,16,1,1,0,0
Will Pucovski,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,ODI,116,106,12,3230,108,34.36,2575,125.44,309,116,22,2,0
Marcus Stoinis,Australia,ODI,45,42,7,1106,146,31.6,1199,92.24,96,37,6,1,0
Moises Henriques,Australia,ODI,13,12,2,105,22,10.5,151,69.54,10,0,0,0,0
Marnus Labuschagne,Australia,ODI,13,12,0,473,108,39.42,519,91.14,32,0,3,1,0
Travis Head,Australia,ODI,42,39,2,1273,128,34.41,1414,90.03,135,16,10,1,0
Michael Neser,Australia,ODI,2,2,0,8,6,4,16,50,0,0,0,0,0
Ashton Agar,Australia,ODI,14,12,2,217,46,21.7,240,90.42,22,1,0,0,0
Cameron Green,Australia,ODI,1,1,0,21,21,21,27,77.78,1,1,0,0,0
Daniel Sams,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Carey,Australia,ODI,42,37,7,1091,106,36.37,1189,91.76,109,8,4,1,0
Matthew Wade,Australia,ODI,94,80,11,1777,100,25.75,2164,82.12,122,32,10,1,0
Tim Paine,Australia,ODI,35,35,3,890,111,27.81,1257,70.8,96,6,5,1,0
Pat Cummins,Australia,ODI,69,44,15,285,36,9.83,387,73.64,20,5,0,0,0
Nathan Lyon,Australia,ODI,29,14,10,77,30,19.25,83,92.77,7,2,0,0,0
Mitchell Starc,Australia,ODI,96,54,21,401,52,12.15,440,91.14,29,11,1,0,0
Adam Zampa,Australia,ODI,61,27,7,128,22,6.4,214,59.81,8,1,0,0,0
Sean Abbott,Australia,ODI,2,2,0,7,4,3.5,16,43.75,0,0,0,0,0
Josh Hazlewood,Australia,ODI,54,18,15,53,11,17.67,80,66.25,6,0,0,0,0
Andrew Tye,Australia,ODI,7,7,3,57,19,14.25,48,118.75,5,2,0,0,0
James Pattinson,Australia,ODI,15,8,4,42,13,10.5,80,52.5,2,0,0,0,0
Mitchell Swepson,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,ODI,127,105,14,3164,139,34.77,4389,72.09,244,25,21,4,0
